2024-01-18 16:50:52.949 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-01-18 16:50:52.966 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-01-18 16:50:52.967 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-01-18 16:50:53.782 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-01-18 16:50:53.784 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-18 16:50:54.054 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-01-18 16:50:54.167 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-01-18 16:50:54.824 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@50df710a, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@eb3b4d7, org.springframework.security.web.context.SecurityContextHolderFilter@3ceb8e1f, org.springframework.security.web.header.HeaderWriterFilter@775429c8, org.springframework.web.filter.CorsFilter@1d4ae17e, org.springframework.security.web.authentication.logout.LogoutFilter@2a654167, com.shopapp.filter.JwtTokenFilter@56017274, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@d3f2b59, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@24763d10, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@44e69674, org.springframework.security.web.access.ExceptionTranslationFilter@3fe5c9f1, org.springframework.security.web.access.intercept.AuthorizationFilter@71b253b]
2024-01-18 16:50:55.031 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-01-18 16:50:55.052 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-01-18 16:50:55.058 [main] INFO  com.shopapp.ShopappApplication - Started ShopappApplication in 4.121 seconds (process running for 4.818)
2024-01-18 18:09:16.231 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-01-18 18:09:16.305 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-01-18 18:09:16.351 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-01-18 21:10:47.429 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-01-18 21:10:47.476 [main] INFO  com.shopapp.ShopappApplication - Starting ShopappApplication using Java 17.0.8 with PID 6284 (D:\ShopAppSpringboot\shopapp-backend\shopapp\target\classes started by phamn in D:\ShopAppSpringboot\shopapp-backend\shopapp)
2024-01-18 21:10:47.477 [main] INFO  com.shopapp.ShopappApplication - No active profile set, falling back to 1 default profile: "default"
2024-01-18 21:10:48.473 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-01-18 21:10:48.572 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 90 ms. Found 9 JPA repository interfaces.
2024-01-18 21:10:49.603 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-01-18 21:10:49.620 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-01-18 21:10:49.624 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-01-18 21:10:49.625 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.16]
2024-01-18 21:10:49.732 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-01-18 21:10:49.734 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2208 ms
2024-01-18 21:10:49.987 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-01-18 21:10:50.126 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2024-01-18 21:10:50.203 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-01-18 21:10:50.622 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-01-18 21:10:50.663 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-01-18 21:10:50.872 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@9e50283
2024-01-18 21:10:50.875 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-01-18 21:10:50.914 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-01-18 21:10:50.916 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2024-01-18 21:10:53.024 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-01-18 21:10:53.029 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-18 21:10:53.519 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-01-18 21:10:53.695 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-01-18 21:10:54.509 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@63c57bde, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@56c75b4f, org.springframework.security.web.context.SecurityContextHolderFilter@195267c8, org.springframework.security.web.header.HeaderWriterFilter@71103416, org.springframework.web.filter.CorsFilter@1cd25514, org.springframework.security.web.authentication.logout.LogoutFilter@566c6b91, com.shopapp.filter.JwtTokenFilter@ef59aee, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@496a514f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@430e9d37, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6bd01b0e, org.springframework.security.web.access.ExceptionTranslationFilter@84f0686, org.springframework.security.web.access.intercept.AuthorizationFilter@75e81be2]
2024-01-18 21:10:54.748 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-01-18 21:10:54.784 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-01-18 21:10:54.791 [main] INFO  com.shopapp.ShopappApplication - Started ShopappApplication in 7.864 seconds (process running for 9.094)
2024-01-18 21:13:04.256 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-01-18 21:13:04.256 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-01-18 21:13:04.258 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2024-01-18 21:13:04.286 [http-nio-8080-exec-1] WARN  o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/v1/categories' (previous null). Performing MatchableHandlerMapping lookup. This is logged once only at WARN level, and every time at TRACE.
2024-01-18 21:13:04.343 [http-nio-8080-exec-2] INFO  c.s.controller.ProductController - keyword = 
2024-01-18 21:13:09.498 [http-nio-8080-exec-3] INFO  c.s.controller.ProductController - keyword = 
2024-01-18 21:29:41.454 [http-nio-8080-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@9e50283 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-01-18 21:29:41.456 [http-nio-8080-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@1e366165 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-01-18 21:29:41.457 [http-nio-8080-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@4efa295c (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-01-18 21:29:41.458 [http-nio-8080-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3fc2a50f (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-01-18 21:29:41.458 [http-nio-8080-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@15f98d4d (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-01-18 21:29:41.459 [http-nio-8080-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@3869fbde (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2024-01-18 21:29:41.459 [http-nio-8080-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@27469546 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
