2024-01-18 16:39:02.978 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-01-18 16:39:03.240 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-01-18 16:39:03.341 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-01-18 16:39:03.987 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6bd01b0e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@23038621, org.springframework.security.web.context.SecurityContextHolderFilter@430e9d37, org.springframework.security.web.header.HeaderWriterFilter@195267c8, org.springframework.web.filter.CorsFilter@4ff2ac2d, org.springframework.security.web.authentication.logout.LogoutFilter@46f03d6d, com.shopapp.filter.JwtTokenFilter@70a91d72, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@32828624, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@29f94912, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@41862a32, org.springframework.security.web.access.ExceptionTranslationFilter@503e1cd9, org.springframework.security.web.access.intercept.AuthorizationFilter@63c57bde]
2024-01-18 16:39:04.196 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-01-18 16:39:04.211 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-01-18 16:39:04.217 [main] INFO  com.shopapp.ShopappApplication - Started ShopappApplication in 4.081 seconds (process running for 4.84)
2024-01-18 16:39:45.349 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-01-18 16:39:45.351 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-01-18 16:39:45.357 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
